,latitude,longitude,address
137036,31.328439,121.384246,31.328439-121.384246
137088,31.219856,121.568149,31.219856-121.568149
137210,31.200668,121.480775,31.200668-121.480775
137226,31.217217,121.558644,31.217217-121.558644
137396,31.213332,121.619545,31.213332-121.619545
137771,31.23095,121.537305,31.23095-121.537305
137812,31.206458,121.562768,31.206458-121.562768
137940,31.209857,121.644884,31.209857-121.644884
138007,31.202004,121.591317,31.202004-121.591317
138627,31.193646,121.449596,31.193646-121.449596
138880,31.19622,121.468181,31.19622-121.468181
139010,31.208153,121.41083,31.208153-121.41083
139701,31.187712,121.432106,31.187712-121.432106
139853,31.218928,121.402968,31.218928-121.402968
139953,31.238517,121.429012,31.238517-121.429012
139955,31.237667,121.434224,31.237667-121.434224
139992,31.220745,121.438858,31.220745-121.438858
140817,31.1823,121.394288,31.1823-121.394288
141150,31.199096,121.401958,31.199096-121.401958
141358,31.195642,121.446626,31.195642-121.446626
141381,31.215028,121.438872,31.215028-121.438872
141560,31.233112,121.442667,31.233112-121.442667
141575,31.17625,121.418829,31.17625-121.418829
141914,31.197152,121.444999,31.197152-121.444999
141935,31.192935,121.39968,31.192935-121.39968
141937,31.237696,121.382534,31.237696-121.382534
141970,31.21759,121.40829,31.21759-121.40829
142035,31.244479,121.429372,31.244479-121.429372
142221,31.235501,121.402602,31.235501-121.402602
142249,31.17255,121.405133,31.17255-121.405133
142325,31.199535,121.456715,31.199535-121.456715
142360,31.177291,121.405153,31.177291-121.405153
142397,31.182032,121.388195,31.182032-121.388195
142443,31.210053,121.464569,31.210053-121.464569
142525,31.177836,121.408499,31.177836-121.408499
142577,31.182633,121.439015,31.182633-121.439015
142586,31.23423,121.436418,31.23423-121.436418
142812,31.169078,121.433389,31.169078-121.433389
144649,31.269535,121.4975,31.269535-121.4975
145186,31.281772,121.484273,31.281772-121.484273
145537,31.258441,121.461361,31.258441-121.461361
145554,31.293848,121.528021,31.293848-121.528021
146168,31.267888,121.46753,31.267888-121.46753
146203,31.292582,121.508354,31.292582-121.508354
146426,31.264405,121.489289,31.264405-121.489289
146427,31.296101,121.505474,31.296101-121.505474
146587,31.299291,121.454034,31.299291-121.454034
146625,31.264302,121.428277,31.264302-121.428277
146877,31.263879,121.49436,31.263879-121.49436
147003,31.296226,121.494005,31.296226-121.494005
147014,31.258629,121.491056,31.258629-121.491056
147225,30.972355,121.610007,30.972355-121.610007
149154,30.987088,121.588932,30.987088-121.588932
149226,30.981236,121.488197,30.981236-121.488197
150570,31.240979,121.677316,31.240979-121.677316
151141,31.299183,121.628904,31.299183-121.628904
152419,30.940039,121.548407,30.940039-121.548407
156019,31.221688,121.462858,31.221688-121.462858
156299,31.243061,121.517168,31.243061-121.517168
156535,31.23672,121.488128,31.23672-121.488128
156658,31.240977,121.494087,31.240977-121.494087
156683,31.260348,121.542138,31.260348-121.542138
156796,31.218858,121.465451,31.218858-121.465451
157197,31.256113,121.510151,31.256113-121.510151
157254,31.242706,121.49688,31.242706-121.49688
